"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Notoscopelus";"Notoscopelus";"125831";125831;"Notoscopelus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Balistes";"Balistes";"126228";126228;"Balistes";"Balistidae";"Tetraodontiformes";"Actinopteri";"Chordata"
"Cyttopsis rosea";"Cyttopsis rosea";"127425";127425;"Cyttopsis";"Parazenidae";"Zeiformes";"Actinopteri";"Chordata"
"Neoscopelus macrolepidotus";"Neoscopelus macrolepidotus";"126634";126634;"Neoscopelus";"Neoscopelidae";"Myctophiformes";"Actinopteri";"Chordata"
"Hippocampus";"Hippocampus";"1525460";1525460;"Hippocampus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Syngnathus";"Syngnathus";"126227";126227;"Syngnathus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Pomatoschistus";"Pomatoschistus";"125999";125999;"Pomatoschistus";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Polymetme thaeocoryla";"Polymetme thaeocoryla";"127301";127301;"Polymetme";"Phosichthyidae";"Stomiiformes";"Actinopteri";"Chordata"
"Petromyzon marinus";"Petromyzon marinus";"101174";101174;"Petromyzon";"Petromyzontidae";"Petromyzontiformes";"Petromyzonti";"Chordata"
"Mola mola";"Mola mola";"127405";127405;"Mola";"Molidae";"Tetraodontiformes";"Actinopteri";"Chordata"
"Centrophorus squamosus";"Centrophorus squamosus";"105901";105901;"Centrophorus";"Centrophoridae";"Squaliformes";"Elasmobranchii";"Chordata"
"Symphodus rostratus";"Symphodus rostratus";"273574";273574;"Symphodus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Notoscopelus caudispinosus";"Notoscopelus caudispinosus";"158914";158914;"Notoscopelus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Labrus";"Labrus";"126021";126021;"Labrus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Heptranchias perlo";"Heptranchias perlo";"105832";105832;"Heptranchias";"Hexanchidae";"Hexanchiformes";"Elasmobranchii";"Chordata"
"Stomias boa boa";"Stomias boa boa";"234601";234601;"Stomias";"Stomiidae";"Stomiiformes";"Actinopteri";"Chordata"
"Coelorinchus labiatus";"Coelorinchus labiatus";"280299";280299;"Coelorinchus";"Macrouridae";"Gadiformes";"Actinopteri";"Chordata"
"Liza aurata";"Chelon auratus";"126978";126978;"Liza";"Mugilidae";"Mugiliformes";"Actinopteri";"Chordata"
"Lampanyctus intricarius";"Lampanyctus intricarius";"126615";126615;"Lampanyctus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Scorpaena elongata";"Scorpaena elongata";"127242";127242;"Scorpaena";"Scorpaenidae";"Perciformes";"Actinopteri";"Chordata"
"Lampanyctus";"Lampanyctus";"125825";125825;"Lampanyctus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Macroparalepis affinis";"Macroparalepis affinis";"126356";126356;"Macroparalepis";"Paralepididae";"Aulopiformes";"Actinopteri";"Chordata"
"Trachyrincus scabrus";"Trachyrincus scabrus";"126482";126482;"Trachyrincus";"Macrouridae";"Gadiformes";"Actinopteri";"Chordata"
"Nerophis ophidion";"Nerophis ophidion";"127385";127385;"Nerophis";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Syngnathus typhle";"Syngnathus typhle";"127393";127393;"Syngnathus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Gaidropsarus";"Gaidropsarus";"125743";125743;"Gaidropsarus";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Ciliata";"Ciliata";"125741";125741;"Ciliata";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Notacanthus bonaparte";"Notacanthus bonaparte";"126642";126642;"Notacanthus";"Notacanthidae";"Notacanthiformes";"Actinopteri";"Chordata"
"Trachyscorpia cristulata echinata";"Trachyscorpia cristulata echinata";"293754";293754;"Trachyscorpia";"Sebastidae";"Perciformes";"Actinopteri";"Chordata"
"Platichthys flesus";"Platichthys flesus";"127141";127141;"Platichthys";"Pleuronectidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Symphodus roissali";"Symphodus roissali";"273573";273573;"Symphodus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Deania profundorum";"Deania profundorum";"105905";105905;"Deania";"Centrophoridae";"Squaliformes";"Elasmobranchii";"Chordata"
"Maurolicus";"Maurolicus";"126197";126197;"Maurolicus";"Sternoptychidae";"Stomiiformes";"Actinopteri";"Chordata"
"Buenia jeffreysii";"Buenia jeffreysii";"126872";126872;"Buenia";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Gobius paganellus";"Gobius paganellus";"126893";126893;"Gobius";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Pomatoschistus pictus";"Pomatoschistus pictus";"126930";126930;"Pomatoschistus";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Molva dypterygia";"Molva dypterygia";"126459";126459;"Molva";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Crystallogobius linearis";"Crystallogobius linearis";"126878";126878;"Crystallogobius";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Syngnathus phlegon";"Syngnathus phlegon";"127388";127388;"Syngnathus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Sarpa salpa";"Sarpa salpa";"127064";127064;"Sarpa";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Nezumia aequalis";"Nezumia aequalis";"126473";126473;"Nezumia";"Macrouridae";"Gadiformes";"Actinopteri";"Chordata"
"Lepidotrigla dieuzeidei";"Lepidotrigla dieuzeidei";"127265";127265;"Lepidotrigla";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Ciliata septentrionalis";"Ciliata septentrionalis";"126449";126449;"Ciliata";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Symphodus melops";"Symphodus melops";"273571";273571;"Symphodus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Taurulus bubalis";"Taurulus bubalis";"127204";127204;"Taurulus";"Cottidae";"Perciformes";"Actinopteri";"Chordata"
"Centroscymnus coelolepis";"Centroscymnus coelolepis";"105907";105907;"Centroscymnus";"Somniosidae";"Squaliformes";"Elasmobranchii";"Chordata"
"Myctophidae";"Myctophidae";"125498";125498;NA;"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Benthosema glaciale";"Benthosema glaciale";"126580";126580;"Benthosema";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Etmopterus princeps";"Etmopterus princeps";"105911";105911;"Etmopterus";"Etmopteridae";"Squaliformes";"Elasmobranchii";"Chordata"
"Notoscopelus elongatus";"Notoscopelus elongatus";"158915";158915;"Notoscopelus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Pagellus bellottii";"Pagellus bellottii";"127058";127058;"Pagellus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Umbrina cirrosa";"Umbrina cirrosa";"127012";127012;"Umbrina";"Sciaenidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Liparis montagui";"Liparis montagui";"127220";127220;"Liparis";"Liparidae";"Perciformes";"Actinopteri";"Chordata"
"Myoxocephalus scorpioides";"Myoxocephalus scorpioides";"127202";127202;"Myoxocephalus";"Cottidae";"Perciformes";"Actinopteri";"Chordata"
"Spinachia spinachia";"Spinachia spinachia";"126508";126508;"Spinachia";"Gasterosteidae";"Perciformes";"Actinopteri";"Chordata"
"Lampanyctus macdonaldi";"Lampanyctus macdonaldi";"126617";126617;"Lampanyctus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Nannobrachium atrum";"Nannobrachium atrum";"158909";158909;"Nannobrachium";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Salmo salar";"Salmo salar";"127186";127186;"Salmo";"Salmonidae";"Salmoniformes";"Actinopteri";"Chordata"
"Parablennius gattorugine";"Parablennius gattorugine";"126770";126770;"Parablennius";"Blenniidae";"Blenniiformes";"Actinopteri";"Chordata"
"Derichthys serpentinus";"Derichthys serpentinus";"126291";126291;"Derichthys";"Derichthyidae";"Anguilliformes";"Actinopteri";"Chordata"
"Paraliparis hystrix";"Paraliparis hystrix";"127226";127226;"Paraliparis";"Liparidae";"Perciformes";"Actinopteri";"Chordata"
"Diplodus cervinus";"Diplodus cervinus";"127051";127051;"Diplodus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Pholis gunnellus";"Pholis gunnellus";"126996";126996;"Pholis";"Pholidae";"Perciformes";"Actinopteri";"Chordata"
"Anarhichas lupus";"Anarhichas lupus";"126758";126758;"Anarhichas";"Anarhichadidae";"Perciformes";"Actinopteri";"Chordata"
"Symbolophorus veranyi";"Symbolophorus veranyi";"126630";126630;"Symbolophorus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Lepidotrigla cavillone";"Lepidotrigla cavillone";"127264";127264;"Lepidotrigla";"Triglidae";"Perciformes";"Actinopteri";"Chordata"
"Dasyatis tortonesei";"Dasyatis tortonesei";"105852";105852;"Dasyatis";"Dasyatidae";"Myliobatiformes";"Elasmobranchii";"Chordata"
"Serrivomer beanii";"Serrivomer beanii";"126319";126319;"Serrivomer";"Serrivomeridae";"Anguilliformes";"Actinopteri";"Chordata"
"Dipturus cf flossada";"Dipturus batis";"711847";711847;"Dipturus";"Rajidae";"Rajiformes";"Elasmobranchii";"Chordata"
"Dipturus cf intermedia";"Dipturus intermedius";"711846";711846;"Dipturus";"Rajidae";"Rajiformes";"Elasmobranchii";"Chordata"
"Ijimaia loppei";"Ijimaia loppei";"126330";126330;"Ijimaia";"Ateleopodidae";"Ateleopodiformes";"Actinopteri";"Chordata"
"Carapus acus";"Carapus acus";"126661";126661;"Carapus";"Carapidae";"Ophidiiformes";"Actinopteri";"Chordata"
"Actinopterygii";"Actinopterygii";"10194";10194;NA;NA;NA;NA;"Chordata"
