"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Ophiothrix";"Ophiothrix";"123626";123626;"Ophiothrix";"Ophiotrichidae";"Amphilepidida";"Ophiuroidea";"Echinodermata"
"Philine aperta";"Philine aperta";"140744";140744;"Philine";"Philinidae";"Cephalaspidea";"Gastropoda";"Mollusca"
"Pisidia longicornis";"Pisidia longicornis";"107188";107188;"Pisidia";"Porcellanidae";"Decapoda";"Malacostraca";"Arthropoda"
"Thyone";"Thyone";"146116";146116;"Thyone";"Phyllophoridae";"Dendrochirotida";"Holothuroidea";"Echinodermata"
"Monodaeus couchii";"Monodaeus couchii";"241154";241154;"Monodaeus";"Xanthidae";"Decapoda";"Malacostraca";"Arthropoda"
"Sipunculus (Sipunculus) nudus";"Sipunculus (Sipunculus) nudus";"136084";136084;"Sipunculus";"Sipunculidae";"Golfingiida";"Sipunculidea";"Sipuncula"
"Peltaster placenta";"Peltaster placenta";"124055";124055;"Peltaster";"Goniasteridae";"Valvatida";"Asteroidea";"Echinodermata"
"Colus gracilis";"Colus gracilis";"138899";138899;"Colus";"Colidae";"Neogastropoda";"Gastropoda";"Mollusca"
"Echinus melo";"Echinus melo";"124294";124294;"Echinus";"Echinidae";"Camarodonta";"Echinoidea";"Echinodermata"
"Gryphus vitreus";"Gryphus vitreus";"104068";104068;"Gryphus";"Terebratulidae";"Terebratulida";"Rhynchonellata";"Brachiopoda"
"Scleractinia";"Scleractinia";"1363";1363;NA;NA;"Scleractinia";"Anthozoa";"Cnidaria"
"Anomia ephippium";"Anomia ephippium";"138748";138748;"Anomia";"Anomiidae";"Pectinida";"Bivalvia";"Mollusca"
"Distolambrus maltzami";"Distolambrus maltzami";"442261";442261;"Distolambrus";"Parthenopidae";"Decapoda";"Malacostraca";"Arthropoda"
"Neptunea antiqua";"Neptunea antiqua";"138920";138920;"Neptunea";"Buccinidae";"Neogastropoda";"Gastropoda";"Mollusca"
"Ranella olearium";"Ranella olearium";"141115";141115;"Ranella";"Ranellidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Neopycnodonte cochlear";"Neopycnodonte cochlear";"140048";140048;"Neopycnodonte";"Gryphaeidae";"Ostreida";"Bivalvia";"Mollusca"
"Calliostoma granulatum";"Calliostoma granulatum";"141753";141753;"Calliostoma";"Calliostomatidae";"Trochida";"Gastropoda";"Mollusca"
"Atrina pectinata";"Atrina pectinata";"140779";140779;"Atrina";"Pinnidae";"Ostreida";"Bivalvia";"Mollusca"
"Capulus ungaricus";"Capulus ungaricus";"138984";138984;"Capulus";"Capulidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Liocarcinus";"Liocarcinus";"106925";106925;"Liocarcinus";"Polybiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Processa canaliculata";"Processa canaliculata";"107682";107682;"Processa";"Processidae";"Decapoda";"Malacostraca";"Arthropoda"
"Spatangus purpureus";"Spatangus purpureus";"124418";124418;"Spatangus";"Spatangidae";"Spatangoida";"Echinoidea";"Echinodermata"
"Portumnus latipes";"Portumnus latipes";"107400";107400;"Portumnus";"Carcinidae";"Decapoda";"Malacostraca";"Arthropoda"
"Lophogaster typicus";"Lophogaster typicus";"119936";119936;"Lophogaster";"Lophogastridae";"Lophogastrida";"Malacostraca";"Arthropoda"
"Thia scutellata";"Thia scutellata";"107281";107281;"Thia";"Thiidae";"Decapoda";"Malacostraca";"Arthropoda"
"Pasiphaea multidentata";"Pasiphaea multidentata";"107676";107676;"Pasiphaea";"Pasiphaeidae";"Decapoda";"Malacostraca";"Arthropoda"
"Echinus";"Echinus";"123386";123386;"Echinus";"Echinidae";"Camarodonta";"Echinoidea";"Echinodermata"
"Antalis";"Antalis";"150531";150531;"Antalis";"Dentaliidae";"Dentaliida";"Scaphopoda";"Mollusca"
"Pagurus";"Pagurus";"106854";106854;"Pagurus";"Paguridae";"Decapoda";"Malacostraca";"Arthropoda"
"Spatangoida";NA;NA;123106;NA;NA;"Spatangoida";"Echinoidea";"Echinodermata"
"Parastichopus tremulus";"Parastichopus tremulus";"124535";124535;"Parastichopus";"Stichopodidae";"Synallactida";"Holothuroidea";"Echinodermata"
"Pycnogonidae";"Pycnogonidae";"1567";1567;NA;"Pycnogonidae";"Pantopoda";"Pycnogonida";"Arthropoda"
"Pycnogonum litorale";"Pycnogonum litorale";"239867";239867;"Pycnogonum";"Pycnogonidae";"Pantopoda";"Pycnogonida";"Arthropoda"
"Sertularella gayi";"Sertularella gayi";"117902";117902;"Sertularella";"Sertularellidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Isopoda";"Isopoda";"1131";1131;NA;NA;"Isopoda";"Malacostraca";"Arthropoda"
"Buccinidae";"Buccinidae";"149";149;NA;"Buccinidae";"Neogastropoda";"Gastropoda";"Mollusca"
"Suberites";"Suberites";"132072";132072;"Suberites";"Suberitidae";"Suberitida";"Demospongiae";"Porifera"
"Arctica islandica";"Arctica islandica";"138802";138802;"Arctica";"Arcticidae";"Venerida";"Bivalvia";"Mollusca"
"Acanthocardia";"Acanthocardia";"137732";137732;"Acanthocardia";"Cardiidae";"Cardiida";"Bivalvia";"Mollusca"
"Alcyonium";"Alcyonium";"125284";125284;"Alcyonium";"Alcyoniidae";"Alcyonacea";"Anthozoa";"Cnidaria"
"Atlantopandalus propinqvus";"Atlantopandalus propinqvus";"158351";158351;"Atlantopandalus";"Pandalidae";"Decapoda";"Malacostraca";"Arthropoda"
"Crossaster papposus";"Crossaster papposus";"124154";124154;"Crossaster";"Solasteridae";"Valvatida";"Asteroidea";"Echinodermata"
"Pandalus montagui";"Pandalus montagui";"107651";107651;"Pandalus";"Pandalidae";"Decapoda";"Malacostraca";"Arthropoda"
"Euspira";"Euspira";"138239";138239;"Euspira";"Naticidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Glossus humanus";"Glossus humanus";"140023";140023;"Glossus";"Glossidae";"Venerida";"Bivalvia";"Mollusca"
"Astarte sulcata";"Astarte sulcata";"138824";138824;"Astarte";"Astartidae";"Carditida";"Bivalvia";"Mollusca"
"Spirontocaris liljeborgii";"Spirontocaris liljeborgii";"107531";107531;"Spirontocaris";"Thoridae";"Decapoda";"Malacostraca";"Arthropoda"
